Day          Total    Perdiem  Percentage
Nov-3-2021 5066081	7991	0%
Nov-2-2021 5058090	7188	0%
Nov-1-2021 5050902	5971	0% 
Oct-31-2021 5044931 5397	0% 
Oct-30-2021 5039534	6758	0% 
Oct-29-2021 5032776	7916	0%
Oct-28-2021 5024860	8325	0%
Oct-27-2021 5016535	8864	0%
Oct-26-2021 5007671	7786	0%
Oct-25-2021 4999885	5855	0%
Oct-24-2021 4994030	5602	0%
Oct-23-2021 4988428	6509	0%
Oct-22-2021 4981919	8042	0%
Oct-21-2021 4973877	7652	0%
Oct-20-2021 4966225	7549	0%
Oct-19-2021 4958676	7317	0%
Oct-18-2021 4951359	5486	0%
Oct-17-2021 4945873	5148	0%
Oct-16-2021 4940725	6252	0%
Oct-15-2021 4934473	7342	0%
Oct-14-2021 4927131	7833	0%
Oct-13-2021 4919298	7856	0%
Oct-12-2021 4911442	7067	0%
Oct-11-2021 4904375	5238	0%
Oct-10-2021 4899137	5286	0%
Oct-9-2021 4893851	6502	0%
Oct-8-2021 4887349	7998	0%
Oct-7-2021 4879351	8067	0%
Oct-6-2021 4871284	8599	0%
Oct-5-2021 4862685	7801	0%
Oct-4-2021 4854884	5589	0%
Oct-3-2021 4849295	5715	0%
Oct-2-2021 4843580	6768	0%
Oct-1-2021 4836812	7827	0%
Sep-30-2021 4828985	8278	0%
Sep-29-2021 4820707	9222	0%
Sep-28-2021 4811485	8595	0%
Sep-27-2021 4802890	6161	0%
Sep-26-2021 4796729	6197	0%
Sep-25-2021 4790532	7200	0%
Sep-24-2021 4783332	8930	0%
Sep-23-2021 4774402	9182	0%
Sep-22-2021 4765220	9756	0%
Sep-21-2021 4755464	8728	0%
Sep-20-2021 4746736	6538	0%
Sep-19-2021 4740198	7051	0%
Sep-18-2021 4733147	8043	0%
Sep-17-2021 4725104	9014	0%
Sep-16-2021 4716090	9875	0%
Sep-15-2021 4706215	10783	0%
Sep-14-2021 4695432	9381	0%
Sep-13-2021 4686051	7522	0%
Sep-12-2021 4678529	7509	0%
Sep-11-2021 4671020	9038	0%
Sep-10-2021 4661982	9804	0%
Sep-9-2021 4652178	10246	0%
Sep-8-2021 4641932	10180	0%
Sep-7-2021 4631752	9299	0%
Sep-6-2021 4622453	7876	0%
Sep-5-2021 4614577	7864	0%
Sep-4-2021 4606713	9042	0%
Sep-3-2021 4597671	10564	0%
Sep-2-2021 4587107	11399	0%
Sep-1-2021 4575708	10449	0%
Aug-31-2021 4565259	10684	0%
Aug-30-2021 4554575	8190	0%
Aug-29-2021 4546385	8562	0%
Aug-28-2021 4537823	9890	0%
Aug-27-2021 4527933	10652	0%
Aug-26-2021 4517281	11452	0%
Aug-25-2021 4505829	11870	0%
Aug-24-2021 4493959	11033	0%
Aug-23-2021 4482926	8310	0%
Aug-22-2021 4474616	8991	0%
Aug-21-2021 4465625	10545	0%
Aug-20-2021 4455080	10450	0%
Aug-19-2021 4444630	11558	0%
Aug-18-2021 4433072	11203	0%
Aug-17-2021 4421869	10527	0%
Aug-16-2021 4411342	8430	0%
Aug-15-2021 4402912	9048	0%
Aug-14-2021 4393864	9516	0%
Aug-13-2021 4384348	10638	0%
Aug-12-2021 4373710	11037	0%
Aug-11-2021 4362673	10724	0%
Aug-10-2021 4351949	10966	0%
Aug-9-2021 4340983	8541	0%
Aug-8-2021 4332442	8932	0%
Aug-7-2021 4323510	9696	0%
Aug-6-2021 4313814	10330	0%
Aug-5-2021 4303484	10580	0%
Aug-4-2021 4292904	10326	0%
Aug-3-2021 4282578	10220	0%
Aug-2-2021 4272358	8668	0%
Aug-1-2021 4263690	8180	0%
Jul-31-2021 4255510	9393	0%
Jul-30-2021 4246117	9416	0%
Jul-29-2021 4236701	10709	0%
Jul-28-2021 4225992	10408	0%
Jul-27-2021 4215584	9687	0%
Jul-26-2021 4205897	7719	0%
Jul-25-2021 4198178	7255	0%
Jul-24-2021 4190923	8583	0%
Jul-23-2021 4182340	8846	0%
Jul-22-2021 4173494	9052	0%
Jul-21-2021 4164442	8714	0%
Jul-20-2021 4155728	8564	0%
Jul-19-2021 4147164	6983	0%
Jul-18-2021 4140181	7239	0%
Jul-17-2021 4132942	7491	0%
Jul-16-2021 4125451	8773	0%
Jul-15-2021 4116678	8598	0%
Jul-14-2021 4108080	8780	0%
Jul-13-2021 4099300	8196	0%
Jul-12-2021 4091104	6639	0%
Jul-11-2021 4084465	6707	0%
Jul-10-2021 4077758	7774	0%
Jul-9-2021 4069984	8585	0%
Jul-8-2021 4061399	8977	0%
Jul-7-2021 4052422	8506	0%
Jul-6-2021 4043916	8303	0%
Jul-5-2021 4035613	6464	0%
Jul-4-2021 4029149	6434	0%
Jul-3-2021 4022715	7470	0%
Jul-2-2021 4015245	8652	0%
Jul-1-2021 4006593	8402	0%
Jun-30-2021 3998191	8892	0%
Jun-29-2021 3989299	7949	0%
Jun-28-2021 3981350	6495	0%
Jun-27-2021 3974855	6487	0%
Jun-26-2021 3968368	7815	0%
Jun-25-2021 3960553	8864	0%
Jun-24-2021 3951689	8754	0%
Jun-23-2021 3942935	9168	0%
Jun-22-2021 3933767	8997	0%
Jun-21-2021 3924770	6581	0%
Jun-20-2021 3918189	6971	0%
Jun-19-2021 3911218	8875	0%
Jun-18-2021 3902343	9186	0%
Jun-17-2021 3893157	8863	0%
Jun-16-2021 3884294	9588	0%
Jun-15-2021 3874706	9331	0%
Jun-14-2021 3865375	6908	0%
Jun-13-2021 3858467	7067	0%
Jun-12-2021 3851400	8784	0%
Jun-11-2021 3842616	9557	0%
Jun-10-2021 3833059	10332	0%
Jun-9-2021 3822727	10328	0%
Jun-8-2021 3812399	10362	0%
Jun-7-2021 3802037	8066	0%
Jun-6-2021 3793971	7943	0%
Jun-5-2021 3786028	9527	0%
Jun-4-2021 3776501	10613	0%
Jun-3-2021 3765888	11217	0%
